customer_id,age,gender,city_tier,membership_type,total_spend,num_transactions,avg_transaction_value,days_since_last_purchase,num_visits,product_categories_purchased,discount_used,high_value_customer
CUST000878,29,Female,Tier 3,Silver,465,11,42.27,50,18,4,15.53,0
CUST004886,47,Male,Tier 1,Platinum,4451.32,23,193.54,16,38,6,404.45,1
CUST002485,37,Male,Tier 1,Platinum,1903.02,21,90.62,29,28,5,207.83,0
CUST002289,37,Male,Tier 1,Platinum,3952.75,23,171.86,33,31,11,502.3,1
CUST000812,25,Male,Tier 1,Silver,1367.07,11,124.28,46,18,7,70.93,0
CUST000249,36,Female,Tier 2,Silver,160.15,6,26.69,39,8,3,8.96,0
CUST003299,32,Male,Tier 2,Gold,3440.79,17,202.4,29,29,6,304.4,1
CUST000107,37,Female,Tier 1,Silver,505.17,6,84.2,51,15,4,16.93,0
CUST000280,26,Female,Tier 3,Silver,2476.96,9,275.22,44,10,4,71.01,0
CUST001282,27,,Tier 1,Silver,404.24,12,33.69,56,17,8,26.07,0
CUST002823,41,Female,Tier 3,Silver,2281.15,15,152.08,33,24,8,137.29,0
CUST004160,52,Male,Tier 2,Platinum,6881.67,24,286.74,14,39,8,589.14,1
CUST004828,59,Female,Tier 1,Silver,14661.47,26,563.9,13,42,9,843.79,1
CUST003971,48,Female,Tier 2,Gold,9868.02,30,328.93,15,44,12,1123.3,1
CUST000334,24,Male,Tier 1,Silver,247.66,6,41.28,35,14,5,10.3,0
CUST003065,30,Female,Tier 1,Gold,2994.08,16,187.13,26,23,6,227.07,0
CUST000502,,Female,Tier 3,Silver,338.7,6,56.45,35,9,3,26.96,0
CUST002093,46,Male,Tier 1,Gold,4864.66,14,347.48,19,23,7,520.39,1
CUST003254,50,Female,Tier 1,Gold,1548.31,13,119.1,25,20,6,133.13,0
CUST001478,30,Male,Tier 1,Silver,235.6,8,29.45,59,9,7,14.44,0
CUST004450,66,Male,Tier 1,Silver,10967.05,29,378.17,19,37,7,255.62,1
CUST002548,37,Male,Tier 1,Gold,3100.55,14,221.47,19,22,7,157.18,1
CUST002842,30,Female,Tier 2,Silver,2965.4,16,185.34,20,21,6,123.73,0
CUST001159,32,Female,Tier 1,Silver,1289.27,6,214.88,50,7,1,78.21,0
CUST004669,43,Male,Tier 3,Gold,15594.27,23,678.01,9,32,9,980.25,1
CUST000860,31,Female,Tier 2,Silver,787.6,7,112.51,52,10,2,43.6,0
CUST002687,45,Female,Tier 1,Gold,986.46,10,98.65,17,17,6,89.47,0
CUST004480,62,Female,Tier 2,Platinum,5875.18,26,225.97,15,36,12,518.96,1
CUST003571,39,Female,Tier 1,Gold,6307.28,14,450.52,27,22,6,542.49,1
CUST001336,26,Female,Tier 1,Gold,447.85,10,44.78,33,18,4,40.2,0
CUST003687,60,Female,Tier 1,Gold,5070.12,15,338.01,,,4,379.92,1
CUST002446,44,Female,Tier 1,Silver,1251.54,21,59.6,14,29,10,86.57,0
CUST002537,49,Female,Tier 2,Gold,4342.84,15,289.52,26,28,5,231.16,1
CUST002084,30,Male,Tier 2,Platinum,2047.09,15,136.47,31,30,13,207.72,0
CUST001808,46,Male,Tier 1,Gold,1446.74,16,90.42,31,21,10,103.25,0
CUST002585,50,Female,Tier 1,Gold,2461.21,12,205.1,30,18,6,186.14,0
